,REGIAO,ESPÉCIE,FASE,ADITIVO,AREA,ABA_ESP,ABB_ESP,ABC_ESP,ABD_ESP,ABE_ESP,ABF_ESP,ABG_ESP,ABH_ESP,ABI_ESP,ABL_ESP,ABM_ESP
5919,S. J. RIO PRETO,BULL24867515,2d,I,14.93,95.0,27.56,24.17,24.9148,255.19,30.43,32.76000000000001,22.52,166.471902279884,24.8211678892304,12.5
5920,ARACATUBA,BULL24867515,3d,E,107.89,72.31759307539889,27.6324,25.47,21.42908741991866,5795.854,30.94,33.01000000000001,24.8,166.710657205461,21.33177446574651,
5921,MATO G. DO SUL,BULL24867515,>5d,E,20.77,26.4732041049031,26.72,28.05,14.13045564424173,138.93,30.67,33.46,23.8,158.515572116099,14.12054977978295,12.52
5922,PARANÁ,BULL24867515,>5d,B,114.72,33.4049552180685,27.118317,26.715081,15.23606898357564,2210.717,30.724792,32.868355,24.54792,161.775164888915,15.20593069722605,12.5633081
5923,PARANÁ,BULL24867515,3d,E,70.8,77.9971258503401,26.896471,25.715044,21.83124271312942,3892.631,30.134892,32.327477,26.456611,159.845499434478,21.75737803258365,12.58601165
5926,MATO G. DO SUL,BULL24867515,1,A,27.65919,74.7273824508164,26.3887,26.4144,21.02565487870062,994.26,29.7265,31.62,25.27,154.611892733896,20.94567073755392,12.54202586
5927,PARANÁ,BULL24867515,4d,D,124.08,42.6324589578872,26.400768,26.769614,16.41130934722056,3445.286,29.853508,31.668842,25.687301,154.596115128551,16.36806964422949,12.5276116
5928,PARANÁ,BULL24867515,4d,E,543.65,40.6005379478981,27.16041,26.386859,16.33595881510693,15217.476,30.667597,32.785868,28.029041,162.184308649135,16.29535201869842,12.56029594
5931,PARANÁ,BULL24867515,5d,I,29.78,44.9670416197975,26.1622,27.41,16.66885836827897,598.154,29.76,31.97,25.0,152.713800607922,16.63891772112124,12.590701
5932,PARANÁ,BULL24867515,fr,E,69.61,56.1754035757681,26.7441,25.49,18.51326567861482,2556.945,29.87,32.28,27.0,158.679413112073,18.47962227048263,12.618484
5939,S. J. RIO PRETO,BULL24867515,>5d,I,1002.3576,67.2570707792822,27.42,25.61,20.52064031416531,54736.26,30.73,33.033836,23.798784,164.939085666956,20.4509658816177,12.48
5940,S. J. RIO PRETO,BULL24867515,>5d,I,299.92,53.2242636843568,27.07,25.11,18.21249653723257,11881.29,30.14,32.62,23.11,161.887026600239,18.17898230743245,12.52
5941,SÃO CARLOS,BULL24867515,5d,E,83.32,30.1846466629277,25.875,27.025,14.52311972448121,1308.929,29.282,31.721,21.754,150.305212517478,14.51503142127146,12.634
